Code|Nutrient/Ingridient|Value (per 100gr)
FR023|Natrium (Na)|147 mg
FR023|Kalium (K)|101.4 mg
FR023|Tembaga (Cu)|0.11 mg
FR023|Seng (Zn)|2.2 mg
FR023|Retinol (Vit. A)|0 mcg
FR023|Beta-Karoten (Carotenes)|49 mcg
FR023|Thiamin (Vit. B1)|0.15 mg
FR023|Riboflavin (Vit. B2)|0.17 mg
FR023|Niasin (Niacin)|1.7 mg
FR023|Vitamin C (Vit. C)|0 mg
FR024|Air (Water)|60.0 g
FR024|Energi (Energy)|273 Kal
FR024|Protein (Protein)|17.5 g
FR024|Lemak (Fat)|22.0 g
FR024|Karbohidrat (CHO)|0.0 g
FR024|Serat (Fibre)|0.0 g
FR024|Abu (ASH)|0.5 g
FR024|Kalsium (Ca)|10 mg
FR024|Fosfor (P)|150 mg
FR024|Besi (Fe)|2.6 mg
FR024|Natrium (Na)|93 mg
FR024|Kalium (K)|267.0 mg
FR024|Tembaga (Cu)|0.17 mg
FR024|Seng (Zn)|6.4 mg
FR024|Retinol (Vit. A)|12 mcg
FR024|Beta-Karoten (Carotenes)|0 mcg
FR024|Thiamin (Vit. B1)|0.08 mg
FR024|Riboflavin (Vit. B2)|0.18 mg
FR024|Niasin (Niacin)|7.3 mg
FR024|Vitamin C (Vit. C)|0 mg
FR025|Air (Water)|69.0 g
FR025|Energi (Energy)|174 Kal
FR025|Protein (Protein)|19.6 g
FR025|Lemak (Fat)|10.0 g
FR025|Karbohidrat (CHO)|0.0 g
FR025|Serat (Fibre)|0.0 g
FR025|Abu (ASH)|1.4 g
FR025|Kalsium (Ca)|11 mg
FR025|Fosfor (P)|181 mg
FR025|Besi (Fe)|2.9 mg
FR025|Natrium (Na)|83 mg
FR025|Kalium (K)|489.0 mg
FR025|Tembaga (Cu)|0.07 mg
FR025|Seng (Zn)|4.9 mg
FR025|Retinol (Vit. A)|6 mcg
FR025|Beta-Karoten (Carotenes)|181 mcg
FR025|Thiamin (Vit. B1)|0.07 mg
FR025|Riboflavin (Vit. B2)|0.51 mg
FR025|Niasin (Niacin)|1.2 mg
FR025|Vitamin C (Vit. C)|0 mg
FR026|Air (Water)|66.0 g
FR026|Energi (Energy)|201 Kal
FR026|Protein (Protein)|18.8 g
FR026|Lemak (Fat)|14.0 g
FR026|Karbohidrat (CHO)|0.0 g
FR026|Serat (Fibre)|0.0 g
FR026|Abu (ASH)|1.2 g
FR026|Kalsium (Ca)|11 mg
FR026|Fosfor (P)|170 mg
FR026|Besi (Fe)|2.8 mg
FR026|Natrium (Na)|105 mg
FR026|Kalium (K)|378.0 mg
FR026|Tembaga (Cu)|4.58 mg
FR026|Seng (Zn)|5.2 mg
FR026|Retinol (Vit. A)|9 mcg
FR026|Beta-Karoten (Carotenes)|198 mcg
FR026|Thiamin (Vit. B1)|0.08 mg
FR026|Riboflavin (Vit. B2)|0.56 mg
FR026|Niasin (Niacin)|1.3 mg
FR026|Vitamin C (Vit. C)|0 mg
FR027|Air (Water)|70.1 g
FR027|Energi (Energy)|183 Kal
FR027|Protein (Protein)|12.0 g
FR027|Lemak (Fat)|14.4 g
FR027|Karbohidrat (CHO)|1.4 g
FR027|Serat (Fibre)|0.0 g
FR027|Abu (ASH)|2.1 g
FR027|Kalsium (Ca)|43 mg
FR027|Fosfor (P)|319 mg
FR027|Besi (Fe)|1.8 mg
FR027|Natrium (Na)|277 mg
FR027|Kalium (K)|160.0 mg
FR027|Tembaga (Cu)|0.10 mg
FR027|Seng (Zn)|0.8 mg
FR027|Beta-Karoten (Carotenes)|104 mcg
FR027|Thiamin (Vit. B1)|0.31 mg
FR027|Riboflavin (Vit. B2)|0.22 mg
FR027|Niasin (Niacin)|8.4 mg
FR028|Air (Water)|75.6 g
FR028|Energi (Energy)|98 Kal
FR028|Protein (Protein)|21.9 g
FR028|Lemak (Fat)|1.1 g
FR028|Karbohidrat (CHO)|0.0 g
FR028|Serat (Fibre)|0.0 g
FR028|Abu (ASH)|1.4 g
FR028|Kalsium (Ca)|7 mg
FR028|Fosfor (P)|24 mg
FR028|Besi (Fe)|1.3 mg
FR028|Natrium (Na)|150 mg
FR028|Kalium (K)|170.0 mg
FR028|Seng (Zn)|0.2 mg
FR028|Retinol (Vit. A)|15 mcg
FR028|Beta-Karoten (Carotenes)|214 mcg
FR028|Thiamin (Vit. B1)|0.01 mg
FR028|Riboflavin (Vit. B2)|0.03 mg
FR028|Niasin (Niacin)|0.9 mg
FR028|Vitamin C (Vit. C)|0 mg
FR029|Air (Water)|74.9 g
FR029|Energi (Energy)|137 Kal
FR029|Protein (Protein)|15.0 g
FR029|Lemak (Fat)|8.1 g
FR029|Karbohidrat (CHO)|0.9 g
FR029|Serat (Fibre)|0.0 g
FR029|Abu (ASH)|1.1 g
FR029|Kalsium (Ca)|9 mg
FR029|Fosfor (P)|221 mg
FR029|Besi (Fe)|7.9 mg
FR029|Natrium (Na)|200 mg
FR029|Kalium (K)|230.2 mg
FR029|Retinol (Vit. A)|348 mcg
FR029|Beta-Karoten (Carotenes)|583 mcg
FR029|Thiamin (Vit. B1)|0.37 mg
FR029|Riboflavin (Vit. B2)|1.22 mg
FR029|Niasin (Niacin)|6.1 mg
FR029|Vitamin C (Vit. C)|13 mg
FR030|Air (Water)|83.8 g
FR030|Energi (Energy)|84 Kal
FR030|Protein (Protein)|10.5 g
FR030|Lemak (Fat)|4.6 g
FR030|Karbohidrat (CHO)|0.2 g
FR030|Serat (Fibre)|0.0 g
FR030|Abu (ASH)|0.9 g
FR030|Kalsium (Ca)|20 mg
FR030|Fosfor (P)|13 mg
FR030|Besi (Fe)|2.1 mg
FR030|Natrium (Na)|73 mg
FR030|Kalium (K)|318.0 mg
FR030|Tembaga (Cu)|0.20 mg
FR030|Seng (Zn)|1.7 mg
FR030|Retinol (Vit. A)|857 mcg
FR030|Beta-Karoten (Carotenes)|34 mcg
FR030|Thiamin (Vit. B1)|0.10 mg
FR030|Riboflavin (Vit. B2)|0.14 mg
FR030|Niasin (Niacin)|0.3 mg
FR031|Air (Water)|69.7 g
FR031|Energi (Energy)|132 Kal
FR031|Protein (Protein)|19.7 g
FR031|Lemak (Fat)|3.2 g
FR031|Karbohidrat (CHO)|6.0 g
FR031|Serat (Fibre)|0.0 g
FR031|Abu (ASH)|1.4 g
FR031|Kalsium (Ca)|7 mg
FR031|Fosfor (P)|358 mg
FR031|Besi (Fe)|6.6 mg
FR031|Natrium (Na)|110 mg
FR031|Kalium (K)|213.0 mg
FR031|Tembaga (Cu)|0.51 mg
FR031|Seng (Zn)|2.3 mg
FR031|Retinol (Vit. A)|13,303 mcg
FR031|Beta-Karoten (Carotenes)|355 mcg
FR031|Thiamin (Vit. B1)|0.26 mg
FR031|Riboflavin (Vit. B2)|1.52 mg
FR031|Niasin (Niacin)|11.4 mg
FR031|Vitamin C (Vit. C)|31 mg
FR032|Air (Water)|78.9 g
FR032|Energi (Energy)|123 Kal
FR032|Protein (Protein)|10.4 g
FR032|Lemak (Fat)|8.6 g
FR032|Karbohidrat (CHO)|0.8 g
FR032|Serat (Fibre)|0.0 g
FR032|Abu (ASH)|1.3 g
FR032|Kalsium (Ca)|16 mg
FR032|Fosfor (P)|330 mg
FR032|Besi (Fe)|3.6 mg
FR032|Natrium (Na)|112 mg
FR032|Kalium (K)|243.8 mg
FR032|Tembaga (Cu)|0.26 mg
FR032|Seng (Zn)|0.9 mg
FR032|Retinol (Vit. A)|0 mcg
FR032|Beta-Karoten (Carotenes)|0 mcg
FR032|Thiamin (Vit. B1)|0.23 mg
FR032|Riboflavin (Vit. B2)|0.19 mg
FR032|Niasin (Niacin)|3.9 mg
FR032|Vitamin C (Vit. C)|18 mg
FR033|Air (Water)|76.7 g
FR033|Energi (Energy)|126 Kal
FR033|Protein (Protein)|14.0 g
FR033|Lemak (Fat)|7.2 g
FR033|Karbohidrat (CHO)|1.5 g
FR033|Serat (Fibre)|0.0 g
FR033|Abu (ASH)|0.6 g
FR033|Kalsium (Ca)|14 mg
FR033|Fosfor (P)|115 mg
FR033|Besi (Fe)|4.0 mg
FR033|Retinol (Vit. A)|61 mcg
FR033|Beta-Karoten (Carotenes)|0 mcg
FR033|Thiamin (Vit. B1)|0.08 mg
FR033|Riboflavin (Vit. B2)|0.33 mg
FR033|Niasin (Niacin)|0.2 mg
FR033|Vitamin C (Vit. C)|0 mg
FR034|Air (Water)|65.9 g
FR034|Energi (Energy)|241 Kal
FR034|Protein (Protein)|5.8 g
FR034|Lemak (Fat)|21.6 g
FR034|Karbohidrat (CHO)|5.8 g
FR034|Serat (Fibre)|2.8 g
FR034|Abu (ASH)|0.9 g
FR034|Kalsium (Ca)|20 mg
FR034|Fosfor (P)|70 mg
FR034|Besi (Fe)|0.5 mg
FR034|Natrium (Na)|210 mg
FR034|Kalium (K)|210.0 mg
FR034|Tembaga (Cu)|1.00 mg
FR034|Seng (Zn)|7.7 mg
FR034|Beta-Karoten (Carotenes)|0 mcg
FR034|Thiamin (Vit. B1)|0.17 mg
FR034|Riboflavin (Vit. B2)|1.45 mg
FR034|Niasin (Niacin)|0.1 mg
GP001|Air (Water)|6.7 g
GP001|Energi (Energy)|441 Kal
GP001|Protein (Protein)|48.7 g
GP001|Lemak (Fat)|20.3 g
GP001|Karbohidrat (CHO)|15.8 g
GP001|Serat (Fibre)|0.0 g
GP001|Abu (ASH)|8.4 g
GP001|Kalsium (Ca)|692 mg
GP001|Fosfor (P)|523 mg
GP001|Besi (Fe)|16.6 mg
GP001|Retinol (Vit. A)|6 mcg
GP001|Karoten Total (Re)|1,408 mcg
GP001|Thiamin (Vit. B1)|0.56 mg
GP001|Vitamin C (Vit. C)|69 mg
GP002|Air (Water)|11.2 g
GP002|Energi (Energy)|417 Kal
GP002|Protein (Protein)|25.9 g
GP002|Lemak (Fat)|19.4 g
GP002|Karbohidrat (CHO)|32.0 g
GP002|Serat (Fibre)|0.0 g
GP002|Abu (ASH)|11.5 g
GP002|Kalsium (Ca)|840 mg
GP002|Fosfor (P)|872 mg
GP002|Besi (Fe)|4.9 mg
GP002|Natrium (Na)|71 mg
GP002|Kalium (K)|217.7 mg
GP002|Tembaga (Cu)|0.30 mg
GP002|Seng (Zn)|1.8 mg
GP002|Retinol (Vit. A)|0 mcg
GP002|Karoten Total (Re)|0 mcg
GP002|Thiamin (Vit. B1)|0.00 mg
GP002|Riboflavin (Vit. B2)|0.20 mg
GP002|Niasin (Niacin)|10.5 mg
GP002|Vitamin C (Vit. C)|0 mg
GP003|Air (Water)|54.2 g
GP003|Energi (Energy)|265 Kal
GP003|Protein (Protein)|40.6 g
GP003|Lemak (Fat)|10.1 g
GP003|Karbohidrat (CHO)|0.0 g
GP003|Serat (Fibre)|0.0 g
GP003|Abu (ASH)|3.1 g
GP003|Kalsium (Ca)|62 mg
GP003|Fosfor (P)|270 mg
GP003|Besi (Fe)|2.7 mg
GP003|Natrium (Na)|86 mg
GP003|Kalium (K)|81.9 mg
GP003|Retinol (Vit. A)|0 mcg
GP003|Beta-Karoten (Carotenes)|56 mcg
GP003|Karoten Total (Re)|0 mcg
GP003|Thiamin (Vit. B1)|0.09 mg
GP003|Riboflavin (Vit. B2)|0.00 mg
GP003|Niasin (Niacin)|6.3 mg
GP003|Vitamin C (Vit. C)|0 mg
GP004|Air (Water)|40.0 g
GP004|Energi (Energy)|193 Kal
GP004|Protein (Protein)|42.0 g
GP004|Lemak (Fat)|1.5 g
GP004|Karbohidrat (CHO)|0.0 g
GP004|Serat (Fibre)|0.0 g
GP004|Abu (ASH)|16.5 g
GP004|Kalsium (Ca)|200 mg
GP004|Fosfor (P)|300 mg
GP004|Besi (Fe)|0.0 mg
GP004|Thiamin (Vit. B1)|0.01 mg
GP004|Vitamin C (Vit. C)|0 mg
GP005|Air (Water)|45.3 g
GP005|Energi (Energy)|296 Kal
GP005|Protein (Protein)|17.1 g
GP005|Lemak (Fat)|20.3 g
GP005|Karbohidrat (CHO)|11.3 g
GP005|Serat (Fibre)|0.0 g
GP005|Abu (ASH)|6.0 g
GP005|Kalsium (Ca)|1,422 mg
GP005|Fosfor (P)|659 mg
GP005|Besi (Fe)|1.9 mg
GP005|Retinol (Vit. A)|6 mcg
GP005|Beta-Karoten (Carotenes)|0 mcg
GP005|Karoten Total (Re)|400 mcg
GP005|Thiamin (Vit. B1)|0.14 mg
GP005|Vitamin C (Vit. C)|69 mg
GP006|Air (Water)|69.8 g
GP006|Energi (Energy)|144 Kal
GP006|Protein (Protein)|17.8 g
GP006|Lemak (Fat)|5.8 g
GP006|Karbohidrat (CHO)|5.2 g
GP006|Abu (ASH)|1.4 g
GP006|Kalsium (Ca)|18 mg
GP006|Fosfor (P)|169 mg
GP006|Besi (Fe)|0.0 mg
GP006|Natrium (Na)|168 mg
GP006|Kalium (K)|236.0 mg
GP006|Tembaga (Cu)|0.10 mg
GP006|Seng (Zn)|0.7 mg
GP006|Thiamin (Vit. B1)|0.00 mg
GP006|Riboflavin (Vit. B2)|0.00 mg
GP006|Niasin (Niacin)|1.3 mg
GP007|Air (Water)|68.2 g
GP007|Energi (Energy)|128 Kal
GP007|Protein (Protein)|18.0 g
GP007|Lemak (Fat)|3.0 g
GP007|Karbohidrat (CHO)|7.2 g
GP007|Serat (Fibre)|0.0 g
GP007|Abu (ASH)|3.6 g
GP007|Kalsium (Ca)|58 mg
GP007|Fosfor (P)|134 mg
GP007|Besi (Fe)|0.0 mg
GP007|Natrium (Na)|293 mg
GP007|Kalium (K)|198.0 mg
GP007|Tembaga (Cu)|0.10 mg
GP007|Seng (Zn)|0.4 mg
GP007|Beta-Karoten (Carotenes)|0 mcg
GP007|Thiamin (Vit. B1)|1.80 mg
GP007|Riboflavin (Vit. B2)|0.17 mg
GP007|Niasin (Niacin)|1.5 mg
GP008|Air (Water)|56.9 g
GP008|Energi (Energy)|204 Kal
GP008|Protein (Protein)|34.2 g
GP008|Lemak (Fat)|5.6 g
GP008|Karbohidrat (CHO)|1.9 g
GP008|Abu (ASH)|1.4 g
GP008|Kalsium (Ca)|14 mg
GP008|Fosfor (P)|399 mg
GP008|Besi (Fe)|1.3 mg
GP008|Natrium (Na)|176 mg
GP008|Kalium (K)|588.0 mg
GP008|Tembaga (Cu)|0.30 mg
GP008|Seng (Zn)|0.7 mg
GP008|Retinol (Vit. A)|1,546 mcg
GP008|Thiamin (Vit. B1)|0.53 mg
GP008|Riboflavin (Vit. B2)|0.07 mg
GP009|Air (Water)|41.7 g
GP009|Energi (Energy)|198 Kal
GP009|Protein (Protein)|36.5 g
GP009|Lemak (Fat)|2.2 g
GP009|Karbohidrat (CHO)|5.5 g
GP009|Serat (Fibre)|0.0 g
GP009|Abu (ASH)|14.1 g
GP009|Kalsium (Ca)|236 mg
GP009|Fosfor (P)|346 mg
GP009|Besi (Fe)|3.7 mg
GP009|Natrium (Na)|4,304 mg
GP009|Kalium (K)|302.1 mg
GP009|Retinol (Vit. A)|0 mcg
GP009|Karoten Total (Re)|0 mcg
GP009|Thiamin (Vit. B1)|0.06 mg
GP009|Vitamin C (Vit. C)|0 mg
GP010|Air (Water)|71.3 g
GP010|Energi (Energy)|81 Kal
GP010|Protein (Protein)|11.4 g
GP010|Lemak (Fat)|1.9 g
GP010|Karbohidrat (CHO)|3.8 g
GP010|Serat (Fibre)|0.0 g
GP010|Abu (ASH)|11.6 g
GP010|Kalsium (Ca)|743 mg
GP010|Fosfor (P)|174 mg
GP010|Besi (Fe)|22.6 mg
GP010|Retinol (Vit. A)|15 mcg
GP010|Karoten Total (Re)|0 mcg
GP010|Thiamin (Vit. B1)|0.00 mg
GP010|Vitamin C (Vit. C)|0 mg
GP011|Air (Water)|26.4 g
GP011|Energi (Energy)|261 Kal
GP011|Protein (Protein)|38.1 g
GP011|Lemak (Fat)|2.3 g
GP011|Karbohidrat (CHO)|21.9 g
GP011|Serat (Fibre)|0.0 g
GP011|Abu (ASH)|11.3 g
GP011|Kalsium (Ca)|2,510 mg
GP011|Fosfor (P)|1,840 mg
GP011|Besi (Fe)|2.9 mg
GP011|Natrium (Na)|320 mg
GP011|Kalium (K)|410.0 mg
GP011|Tembaga (Cu)|0.40 mg
GP011|Seng (Zn)|0.8 mg
GP011|Retinol (Vit. A)|114 mcg
GP011|Thiamin (Vit. B1)|0.10 mg
GP011|Riboflavin (Vit. B2)|0.10 mg
GP011|Niasin (Niacin)|14.5 mg
GP012|Air (Water)|24.0 g
GP012|Energi (Energy)|268 Kal
GP012|Protein (Protein)|58.0 g
GP012|Lemak (Fat)|4.0 g
GP012|Karbohidrat (CHO)|0.0 g
GP012|Serat (Fibre)|0.0 g
GP012|Abu (ASH)|14.0 g
GP012|Kalsium (Ca)|15 mg
GP012|Fosfor (P)|100 mg
GP012|Besi (Fe)|0.1 mg
GP012|Retinol (Vit. A)|30 mcg
GP012|Thiamin (Vit. B1)|0.10 mg
GP012|Vitamin C (Vit. C)|0 mg
GP013|Air (Water)|44.7 g
GP013|Energi (Energy)|267 Kal
GP013|Protein (Protein)|23.1 g
GP013|Lemak (Fat)|19.4 g
GP013|Karbohidrat (CHO)|0.2 g
GP013|Abu (ASH)|12.6 g
GP013|Kalsium (Ca)|2,340 mg
GP013|Fosfor (P)|1,240 mg
GP013|Besi (Fe)|0.8 mg
GP013|Natrium (Na)|590 mg
GP013|Kalium (K)|440.0 mg
GP013|Tembaga (Cu)|0.10 mg
GP013|Seng (Zn)|1.9 mg
GP013|Niasin (Niacin)|0.2 mg
GP014|Air (Water)|23.1 g
GP014|Energi (Energy)|298 Kal
GP014|Protein (Protein)|46.3 g
GP014|Lemak (Fat)|3.6 g
GP014|Karbohidrat (CHO)|20.2 g
GP014|Abu (ASH)|6.8 g
GP014|Kalsium (Ca)|335 mg
GP014|Fosfor (P)|846 mg
GP014|Besi (Fe)|2.5 mg
GP014|Natrium (Na)|957 mg
GP014|Kalium (K)|1,457.0 mg
GP014|Tembaga (Cu)|0.50 mg
GP014|Seng (Zn)|2.0 mg
GP014|Retinol (Vit. A)|661 mcg
GP014|Thiamin (Vit. B1)|0.84 mg
GP014|Riboflavin (Vit. B2)|0.11 mg
GP014|Niasin (Niacin)|22.5 mg
GP015|Air (Water)|44.7 g
GP015|Energi (Energy)|162 Kal
GP015|Protein (Protein)|31.7 g
GP015|Lemak (Fat)|2.8 g
GP015|Karbohidrat (CHO)|0.3 g
GP015|Serat (Fibre)|0.0 g
GP015|Abu (ASH)|15.5 g
GP015|Kalsium (Ca)|279 mg
GP015|Fosfor (P)|609 mg
GP015|Besi (Fe)|4.6 mg
GP015|Natrium (Na)|4,393 mg
GP015|Kalium (K)|342.2 mg
GP015|Tembaga (Cu)|2.80 mg
GP015|Retinol (Vit. A)|0 mcg
GP015|Karoten Total (Re)|0 mcg
GP015|Thiamin (Vit. B1)|0.09 mg
GP015|Vitamin C (Vit. C)|0 mg
GP016|Air (Water)|23.1 g
GP016|Energi (Energy)|302 Kal
GP016|Protein (Protein)|70.7 g
GP016|Lemak (Fat)|1.9 g
GP016|Karbohidrat (CHO)|0.4 g
GP016|Serat (Fibre)|0.0 g
GP016|Abu (ASH)|3.9 g
GP016|Kalsium (Ca)|313 mg
GP016|Fosfor (P)|22 mg
GP016|Besi (Fe)|4.1 mg
GP016|Natrium (Na)|345 mg
GP016|Kalium (K)|1,045.0 mg
GP016|Seng (Zn)|1.8 mg
GP016|Thiamin (Vit. B1)|1.40 mg
GP016|Riboflavin (Vit. B2)|0.04 mg
GP016|Niasin (Niacin)|20.0 mg
GP017|Air (Water)|69.4 g
GP017|Energi (Energy)|147 Kal
GP017|Protein (Protein)|17.5 g
GP017|Lemak (Fat)|6.5 g
GP017|Karbohidrat (CHO)|5.4 g
GP017|Abu (ASH)|1.2 g
GP017|Kalsium (Ca)|54 mg
GP017|Fosfor (P)|194 mg
GP017|Besi (Fe)|0.1 mg
GP017|Natrium (Na)|142 mg
GP017|Kalium (K)|209.0 mg
GP017|Seng (Zn)|0.5 mg
GP018|Air (Water)|21.6 g
GP018|Energi (Energy)|258 Kal
GP018|Protein (Protein)|40.3 g
GP018|Lemak (Fat)|2.3 g
GP018|Karbohidrat (CHO)|18.9 g
GP018|Serat (Fibre)|0.0 g
GP018|Abu (ASH)|16.9 g
GP018|Kalsium (Ca)|140 mg
GP018|Fosfor (P)|279 mg
GP018|Besi (Fe)|2.3 mg
GP018|Natrium (Na)|6,227 mg
GP018|Kalium (K)|485.1 mg
GP018|Tembaga (Cu)|2.30 mg
GP018|Thiamin (Vit. B1)|0.10 mg
GP018|Riboflavin (Vit. B2)|0.30 mg
GP018|Niasin (Niacin)|6.0 mg
GP019|Air (Water)|57.5 g
GP019|Energi (Energy)|209 Kal
GP019|Protein (Protein)|15.2 g
GP019|Lemak (Fat)|11.3 g
GP019|Karbohidrat (CHO)|11.8 g
GP019|Serat (Fibre)|0.5 g
GP019|Abu (ASH)|4.3 g
GP019|Kalsium (Ca)|686 mg
GP019|Fosfor (P)|530 mg
GP019|Besi (Fe)|6.1 mg
GP019|Natrium (Na)|74 mg
GP019|Kalium (K)|276.7 mg
GP019|Tembaga (Cu)|0.10 mg
GP019|Seng (Zn)|1.9 mg
GP019|Retinol (Vit. A)|3 mcg
GP019|Karoten Total (Re)|315 mcg
GP019|Thiamin (Vit. B1)|0.13 mg
GP019|Riboflavin (Vit. B2)|0.10 mg
GP019|Niasin (Niacin)|2.4 mg
GP019|Vitamin C (Vit. C)|0 mg
GP020|Air (Water)|44.7 g
GP020|Energi (Energy)|416 Kal
GP020|Protein (Protein)|46.9 g
GP020|Lemak (Fat)|23.9 g
GP020|Karbohidrat (CHO)|0.0 g
GP020|Serat (Fibre)|0.0 g
GP020|Abu (ASH)|2.2 g
GP020|Kalsium (Ca)|346 mg
GP020|Fosfor (P)|654 mg
GP020|Besi (Fe)|0.9 mg
GP020|Natrium (Na)|54 mg
GP020|Kalium (K)|278.9 mg
GP020|Tembaga (Cu)|0.00 mg
GP020|Seng (Zn)|0.2 mg
GP020|Retinol (Vit. A)|12 mcg
GP020|Beta-Karoten (Carotenes)|3 mcg
GP020|Karoten Total (Re)|8 mcg
GP020|Thiamin (Vit. B1)|0.12 mg
GP020|Riboflavin (Vit. B2)|0.10 mg
GP020|Niasin (Niacin)|2.2 mg
GP020|Vitamin C (Vit. C)|0 mg
GP021|Air (Water)|73.7 g
GP021|Energi (Energy)|121 Kal
GP021|Protein (Protein)|21.7 g
GP021|Lemak (Fat)|2.8 g
GP021|Karbohidrat (CHO)|0.8 g
GP021|Serat (Fibre)|0.0 g
GP021|Abu (ASH)|1.0 g
GP021|Kalsium (Ca)|83 mg
GP021|Fosfor (P)|248 mg
GP021|Besi (Fe)|1.6 mg
GP021|Natrium (Na)|58 mg
GP021|Kalium (K)|265.8 mg
GP021|Tembaga (Cu)|0.00 mg
GP021|Seng (Zn)|0.3 mg
GP021|Retinol (Vit. A)|8 mcg
GP021|Karoten Total (Re)|6 mcg
GP021|Thiamin (Vit. B1)|0.00 mg
GP021|Riboflavin (Vit. B2)|0.10 mg
GP021|Niasin (Niacin)|1.9 mg
GP021|Vitamin C (Vit. C)|0 mg
GP022|Air (Water)|15.2 g
GP022|Energi (Energy)|582 Kal
GP022|Protein (Protein)|68.3 g
GP022|Lemak (Fat)|15.2 g
GP022|Karbohidrat (CHO)|37.2 g
GP022|Serat (Fibre)|0.0 g
GP022|Abu (ASH)|14.1 g
GP022|Kalsium (Ca)|3,258 mg
GP022|Fosfor (P)|1,699 mg
GP022|Besi (Fe)|4.3 mg
GP022|Retinol (Vit. A)|15 mcg
GP022|Karoten Total (Re)|20 mcg
GP022|Thiamin (Vit. B1)|0.27 mg
GP022|Vitamin C (Vit. C)|0 mg
GP023|Air (Water)|66.6 g
GP023|Energi (Energy)|152 Kal
GP023|Protein (Protein)|17.6 g
GP023|Lemak (Fat)|6.1 g
GP023|Karbohidrat (CHO)|6.7 g
GP023|Serat (Fibre)|0.0 g
GP023|Abu (ASH)|3.0 g
GP023|Kalsium (Ca)|244 mg
GP023|Fosfor (P)|227 mg
GP023|Besi (Fe)|3.4 mg
GP023|Natrium (Na)|320 mg
GP023|Kalium (K)|224.0 mg
GP023|Tembaga (Cu)|0.20 mg
GP023|Seng (Zn)|1.0 mg
GP024|Air (Water)|70.3 g
GP024|Energi (Energy)|144 Kal
GP024|Protein (Protein)|17.5 g
GP024|Lemak (Fat)|6.3 g
GP024|Karbohidrat (CHO)|4.3 g
GP024|Abu (ASH)|1.6 g
GP024|Kalsium (Ca)|191 mg
GP024|Fosfor (P)|232 mg
GP024|Besi (Fe)|1.4 mg
GP024|Natrium (Na)|379 mg
GP024|Kalium (K)|230.0 mg
GP024|Tembaga (Cu)|0.10 mg
GP024|Seng (Zn)|0.7 mg
GP025|Air (Water)|46.0 g
GP025|Energi (Energy)|156 Kal
GP025|Protein (Protein)|28.0 g
GP025|Lemak (Fat)|4.0 g
GP025|Karbohidrat (CHO)|2.0 g
GP025|Serat (Fibre)|0.0 g
GP025|Abu (ASH)|20.0 g
GP025|Kalsium (Ca)|174 mg
GP025|Fosfor (P)|316 mg
GP025|Besi (Fe)|3.1 mg
GP025|Natrium (Na)|59 mg
GP025|Kalium (K)|368.8 mg
GP025|Tembaga (Cu)|0.00 mg
GP025|Seng (Zn)|0.5 mg
GP025|Retinol (Vit. A)|33 mcg
GP025|Beta-Karoten (Carotenes)|4 mcg
GP025|Thiamin (Vit. B1)|0.10 mg
GP025|Riboflavin (Vit. B2)|0.10 mg
GP025|Niasin (Niacin)|4.7 mg
GP026|Air (Water)|33.0 g
GP026|Energi (Energy)|176 Kal
GP026|Protein (Protein)|32.0 g
GP026|Lemak (Fat)|4.4 g
GP026|Karbohidrat (CHO)|2.0 g
GP026|Serat (Fibre)|0.0 g
GP026|Abu (ASH)|28.6 g
GP026|Kalsium (Ca)|120 mg
GP026|Fosfor (P)|200 mg
GP026|Besi (Fe)|1.0 mg
GP026|Natrium (Na)|79 mg
GP026|Kalium (K)|1.0 mg
GP026|Retinol (Vit. A)|15 mcg
GP026|Thiamin (Vit. B1)|0.05 mg
GP026|Riboflavin (Vit. B2)|0.10 mg
GP026|Niasin (Niacin)|2.4 mg
GP026|Vitamin C (Vit. C)|0 mg
GP027|Air (Water)|59.0 g
GP027|Energi (Energy)|157 Kal
GP027|Protein (Protein)|28.0 g
GP027|Lemak (Fat)|4.2 g
GP027|Karbohidrat (CHO)|1.8 g
GP027|Serat (Fibre)|0.0 g
GP027|Abu (ASH)|7.0 g
GP027|Kalsium (Ca)|50 mg
GP027|Fosfor (P)|100 mg
GP027|Besi (Fe)|1.0 mg
GP027|Retinol (Vit. A)|45 mcg
GP027|Thiamin (Vit. B1)|0.10 mg
GP027|Vitamin C (Vit. C)|0 mg
GP028|Air (Water)|57.0 g
GP028|Energi (Energy)|170 Kal
GP028|Protein (Protein)|31.0 g
GP028|Lemak (Fat)|4.2 g
GP028|Karbohidrat (CHO)|0.0 g
GP028|Serat (Fibre)|0.0 g
GP028|Abu (ASH)|7.8 g
GP028|Kalsium (Ca)|50 mg
GP028|Fosfor (P)|100 mg
GP028|Besi (Fe)|1.0 mg
GP028|Retinol (Vit. A)|45 mcg
GP028|Thiamin (Vit. B1)|0.10 mg
GP028|Vitamin C (Vit. C)|0 mg
GP029|Air (Water)|60.0 g
GP029|Energi (Energy)|153 Kal
GP029|Protein (Protein)|30.0 g
GP029|Lemak (Fat)|2.8 g
GP029|Karbohidrat (CHO)|0.0 g
GP029|Serat (Fibre)|0.0 g
GP029|Abu (ASH)|7.2 g
GP029|Kalsium (Ca)|60 mg
GP029|Fosfor (P)|200 mg
GP029|Besi (Fe)|3.0 mg
GP029|Retinol (Vit. A)|61 mcg
GP029|Thiamin (Vit. B1)|0.07 mg
